id,name,category,type,address,hours,mainMenu,priceRange,avgPricePerPerson,description,verificationStatus,lastVerifiedDate,menuSourceUrl,hoursSourceUrl,priceSourceUrl,mapSourceUrl,notes,lat,lng,taste,value,portion,cleanliness,ratingCount,foodKeywords,moodKeywords,etcKeywords,recommendFor,image,kakaoPlaceUrl,sourceCheckedDate
store-060,동네분식,분식,restaurant,충남 공주시 번영3로 17,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.46893460629061,127.13354919168879,0,0,0,0,0,,,,,,http://place.map.kakao.com/10312643,2026-05-29
store-061,동대문매운김밥 공주대학점,분식,restaurant,충남 공주시 번영3로 55,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4717399385925,127.13593060708,0,0,0,0,0,,,,,,http://place.map.kakao.com/591006448,2026-05-29
store-062,동대문엽기떡볶이 공주신관점,분식,restaurant,충남 공주시 흑수골길 6-1,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.47346032124916,127.1382276973579,0,0,0,0,0,,,,,,http://place.map.kakao.com/25973239,2026-05-29
store-063,두끼떡볶이 공주점,분식,restaurant,충남 공주시 흑수골길 33,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.47343468289438,127.14088660389571,0,0,0,0,0,,,,,,http://place.map.kakao.com/632950495,2026-05-29
store-064,두찜 공주신관점,고기,restaurant,충남 공주시 공주대학로 41,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.46887809408927,127.13729015430448,0,0,0,0,0,,,,,,http://place.map.kakao.com/1724211245,2026-05-29
store-065,땅스떡볶이 신관점,분식,restaurant,충남 공주시 한적2길 6,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4747624434718,127.140589967476,0,0,0,0,0,,,,,,http://place.map.kakao.com/752533424,2026-05-29
store-066,떡싸롱,기타,restaurant,충남 공주시 매산동길 34-2,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.470510062011385,127.13732204190849,0,0,0,0,0,,,,,,http://place.map.kakao.com/506167580,2026-05-29
store-067,또순이칼국수,한식,restaurant,충남 공주시 번영3로 64,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4720760789908,127.136713356393,0,0,0,0,0,,,,,,http://place.map.kakao.com/994761396,2026-05-29
store-068,라라코스트 공주점,기타,restaurant,충남 공주시 공주대학로 98,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4737229768756,127.1378666431252,0,0,0,0,0,,,,,,http://place.map.kakao.com/27603179,2026-05-29
store-069,롯데리아 공주신관점,기타,restaurant,충남 공주시 흑수골길 34,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4730471328824,127.140929418481,0,0,0,0,0,,,,,,http://place.map.kakao.com/17713458,2026-05-29
